Lane.accession,MLST,Isolate,Year,CTZ,CTX,AMP,AMX,AMC,TZP,CXM,CET,GEN,TBM,TMP,CIP
ERR435234,95,11679_5#39,2007,S,S,,S,S,S,S,,S,,,S
ERR439583,58,11791_3#51,2007,S,S,,R,R,S,S,,S,,,S
ERR435425,372,11679_7#38,2007,S,S,,S,S,S,S,,S,,,S
ERR485898,127,12045_3#65,2007,S,S,,S,S,S,S,,S,,,S
ERR435341,95,11679_6#50,2007,S,S,,S,S,S,S,,S,,,R
ERR434705,405,11658_4#63,2007,R,R,,R,R,S,R,,R,,,R
ERR435166,144,11679_4#67,2007,S,S,,R,S,S,S,,S,,,S
ERR434407,95,11657_6#53,2007,S,S,,S,S,S,S,,S,,,S
ERR435148,73,11679_4#49,2007,S,S,,S,S,S,S,,S,,,S
ERR434503,131,11657_7#53,2007,S,S,,R,R,S,S,,S,,,R
ERR435235,538,11679_5#40,2007,S,S,,S,S,S,S,,S,,,S
ERR439584,117,11791_3#52,2007,S,S,,R,S,S,S,,S,,,S
ERR435236,141,11679_5#41,2007,S,S,,S,S,S,S,,S,,,S
ERR434409,117,11657_6#55,2007,S,S,,S,S,S,S,,S,,,S
ERR434504,131,11657_7#54,2007,S,R,,R,R,S,R,,S,,,R
ERR435426,1972,11679_7#39,2007,S,S,,S,S,S,S,,S,,,S
ERR435541,354,11679_8#59,2007,S,S,,R,S,S,S,,R,,,R
ERR439585,5662,11791_3#53,2007,S,S,,S,S,S,S,,S,,,S
ERR435237,167,11679_5#42,2007,R,R,,R,R,S,R,,R,,,R
ERR439586,69,11791_3#54,2007,S,S,,S,S,S,S,,S,,,S
ERR435568,131,11679_8#86,2007,S,S,,S,S,S,S,,S,,,S
ERR435257,10,11679_5#62,2007,S,S,,S,S,S,S,,S,,,S
ERR435149,393,11679_4#50,2007,S,S,,R,S,S,R,,S,,,R
ERR435427,5360,11679_7#40,2007,S,S,,S,S,S,S,,S,,,S
ERR434506,131,11657_7#56,2007,S,R,,R,S,S,R,,S,,,R
ERR434589,95,11658_3#43,2007,S,S,,R,S,S,R,,S,,,S
ERR435239,131,11679_5#44,2007,S,R,,R,R,S,R,,S,,,R
ERR435542,95,11679_8#60,2007,S,S,,S,S,S,S,,S,,,S
ERR435543,681,11679_8#61,2007,S,S,,R,R,S,S,,S,,,S
ERR435544,127,11679_8#62,2007,S,S,,S,S,S,S,,S,,,S
ERR434316,73,11657_5#58,2007,S,S,,S,S,S,S,,S,,,S
ERR434317,83,11657_5#59,2007,S,S,,R,R,S,S,,S,,,S
ERR435191,131,11679_4#92,2007,R,R,,R,R,S,R,,R,,,R
ERR435545,23,11679_8#63,2007,S,S,,R,R,S,S,,S,,,S
ERR435572,127,11679_8#90,2007,S,S,,R,R,S,S,,S,,,S
ERR439587,443,11791_3#55,2008,S,S,,R,R,R,R,,S,,,R
ERR439588,80,11791_3#56,2008,S,S,,R,R,S,S,,S,,,S
ERR434718,540,11658_4#76,2008,S,S,,R,S,S,S,,S,,,S
ERR435384,131,11679_6#93,2008,S,R,,R,R,S,R,,S,,,R
ERR435343,106,11679_6#52,2008,S,S,,R,R,S,R,,S,,,S
ERR435546,405,11679_8#64,2008,R,R,,R,R,R,R,,R,,,R
ERR439589,12,11791_3#57,2008,S,S,,R,R,S,R,,S,,,S
ERR435567,131,11679_8#85,2008,S,S,,R,R,S,S,,R,,,R
ERR434590,141,11658_3#44,2008,S,S,,S,S,S,S,,S,,,S
ERR434319,131,11657_5#61,2008,R,R,,R,S,S,R,,R,,,R
ERR435004,540,11658_7#74,2008,S,S,,R,R,S,S,,S,,,S
ERR435151,131,11679_4#52,2008,R,R,,R,R,S,R,,S,,,R
ERR434706,95,11658_4#64,2008,S,S,,S,S,S,R,,S,,,S
ERR434719,131,11658_4#77,2008,S,S,,S,S,S,R,,R,,,R
ERR439656,38,11791_6#29,2008,R,R,,R,R,S,R,,R,,,R
ERR435578,73,11679_8#96,2008,S,S,,R,R,R,S,,S,,,S
ERR434508,131,11657_7#58,2008,R,R,,R,R,S,R,,R,,,R
ERR435431,131,11679_7#44,2008,R,R,,R,R,S,R,,R,,,R
ERR434411,10,11657_6#57,2008,S,S,,R,S,S,R,,S,,,S
ERR434509,131,11657_7#59,2008,S,S,,R,R,S,S,,S,,,S
ERR435195,73,11679_4#96,2008,S,S,,R,S,S,S,,S,,,S
ERR435547,349,11679_8#65,2008,S,S,,R,S,S,S,,S,,,S
ERR435240,357,11679_5#45,2008,S,S,,S,S,S,S,,S,,,S
ERR434543,12,11657_7#93,2008,S,S,,R,R,S,S,,S,,,S
ERR435344,12,11679_6#53,2008,S,S,,R,R,S,S,,S,,,S
ERR435449,929,11679_7#62,2008,S,S,,R,R,S,S,,S,,,S
ERR435291,95,11679_5#96,2008,S,S,,R,S,S,S,,S,,,S
ERR435167,80,11679_4#68,2008,S,S,,R,R,S,S,,S,,,S
ERR434528,131,11657_7#78,2008,S,S,,S,S,S,R,,S,,,R
ERR434671,73,11658_4#29,2001,S,,,R,S,S,S,,S,,,S
